Label,Notation,Parent Notation,Sort Priority,Description
Constant Net Asset Value (NAV) MMFs,S123A,,1,
Variable NAV MMFs,S123B,,2,
Non-MMFs Open end funds - Real estate funds,S124A1,,3,
Non-MMFs Open end funds - Equity funds,S124A2,,4,
Non-MMFs Open end funds - Bond funds,S124A3,,5,
Non-MMFs Open end funds - Mixed or balanced funds,S124A4,,6,
Non-MMFs Open end funds - Hedge funds,S124A5,,7,
Other Non-MMFs Open end funds,S124A9,,8,S124A9 = S124A - S124A1 - S124A2 –S 124A3 - S124A4 – S124A5
Financial corporations engaged in lending,S125B,,9,
Security and derivative dealers,S125C,,10,
Specialised financial corporations,S125D,,11,
"Clearing houses, which are part of specialised financial corporations (deprecated)",S125D1,,12,
Other OFIs,S125E,,13,S125E = S125 – S125A – S125B – S125C – S125D
"Trusts, estate and agency accounts",S1271,,14,
Corporate groups’ captive financial entities,S1272,,15,
Other captive finance companies and money lenders,S1273,,16,S1273 = S127 – S1271 – S1272
Other captive finance companies and money lenders (deprecated),S1274,,17,
Defined benefit funds,S129A,,18,
Defined contribution funds,S129B,,19,
Not applicable,_Z,,20,
Total economy,S1,,21,S1=S11+S12+S13+S14+S15+S1N
Non financial corporations,S11,,22,
Public non financial corporations,S11001,,23,
"Public non financial corporations, which are part of domestic multinationals",S110011,,24,
Public non financial corporations controlled by central government,S11001C,,25,
National private non financial corporations,S11002,,26,
"National private non financial corporations, which are part of domestic multinationals",S110021,,27,
Foreign controlled non financial corporations,S11003,,28,
Private nonfinancial corporations,S1100P,,29,S1100P=S11002+S11003
Head offices of non financial corporations,S11B,,30,
Domestically controlled non-financial corporations,S11DO,,31,S11DO=S11001+S11002
Non-financial corporations (sub-sector not identified),S11U,,32,
Financial corporations,S12,,33,S12=S12K+S12M
Public financial corporations,S12001,,34,
"Public financial corporations, which are part of domestic multinationals",S120011,,35,
Public financial corporations controlled by central government,S12001C,,36,
National private financial corporations,S12002,,37,
National private financial corporations which are part of domestic multinationals,S120021,,38,
Foreign controlled financial corporations,S12003,,39,
Private financial corporations,S1200P,,40,S1200P=S12002+S12003
Central bank,S121,,41,
"Deposit taking corporations, except the Central Bank",S122,,42,
"Public deposit taking corporations, except the Central Bank",S12201,,43,
"National private deposit taking corporations, except the Central Bank",S12202,,44,
"Foreign controlled deposit taking corporations, except the Central Bank",S12203,,45,
Private deposit-taking corporations,S1220P,,46,S1220P=S12202+S12203
Banks headquartered in the reporting country or currency area,S122A,,47,
Banks headquartered outside the reporting country or currency area,S122B,,48,
"Deposit taking corporations, except the Central Bank (sub-sector not identified)",S122U,,49,
Deposit-taking corporations except the central bank and excluding electronic money institutions principally engaged in financial intermediation,S122Z,,50,
Money market funds,S123,,51,
Public money market funds,S12301,,52,
National private money market funds,S12302,,53,
Foreign controlled money market funds,S12303,,54,
Money market funds (sub-sector not identified),S123U,,55,
Non MMF investment funds,S124,,56,S124=S124A+S124B
Public non MMF investment funds,S12401,,57,
National private non MMF investment funds,S12402,,58,
Foreign controlled non MMF investment funds,S12403,,59,
Open-end Non MMFs,S124A,,60,"S124=S124A+S124B;
S124=S12401+S12402+S12403"
Closed-end Non MMFs,S124B,,61,S124B=S124B1+S124B2+S124B3+S124B4+S124B5+S124B9
Closed-end Real Estate Funds,S124B1,,62,
Closed-end Equity funds,S124B2,,63,
Closed-end Bond funds,S124B3,,64,
Closed-end Mixed funds,S124B4,,65,
Closed-end Hedge funds,S124B5,,66,
Other closed-end Non MMFs,S124B9,,67,S124B9=S124B-S124B1-S124B2-S124B3-S124B4-S124B5
Non MMF investment funds (sub-sector not identified),S124U,,68,
"Other financial intermediaries, except insurance corporations and pension funds",S125,,69,
"Public other financial intermediaries, except insurance corporations and pension funds",S12501,,70,
"National private other financial intermediaries, except insurance corporations and pension funds",S12502,,71,
"Foreign controlled other financial intermediaries, except insurance corporations and pension funds",S12503,,72,
Financial vehicle corporations engaged in securitisation,S125A,,73,(part of S125)
"Other financial intermediaries, except insurance corporations and pension funds (sub-sector not identified)",S125U,,74,
Other financial corporations excluding financial vehicle corporations,S125W,,75,
Financial auxiliaries,S126,,76,
Public financial auxiliaries,S12601,,77,
National private financial auxiliaries,S12602,,78,
Foreign controlled financial auxiliaries,S12603,,79,
Head offices of financial corporations,S126B,,80,
Financial auxiliaries (sub-sector not identified),S126U,,81,
Captive financial institutions and money lenders,S127,,82,
Public captive financial institutions and money lenders,S12701,,83,
National private captive financial institutions and money lenders,S12702,,84,
Foreign controlled captive financial institutions and money lenders,S12703,,85,
Holding companies,S127A,,86,
Captive financial institutions and money lenders (sub-sector not identified),S127U,,87,
Insurance corporations,S128,,88,S128=S1281+S1282
Public insurance corporations,S12801,,89,
National private insurance corporations,S12802,,90,
Foreign controlled insurance corporations,S12803,,91,
Life Insurance Corporations,S1281,,92,
Non-life Insurance Corporations,S1282,,93,
Reinsurance corporations,S128A,,94,
Life insurance corporations excluding reinsurance corporations,S128B,,95,
Non-life insurance corporations excluding reinsurance corporations,S128C,,96,
Composite life and non-life insurance corporations excluding reinsurance corporations,S128D,,97,
Insurance corporations (sub-sector not identified),S128U,,98,
Pension funds,S129,,99,
Public pension funds,S12901,,100,
National private pension funds,S12902,,101,
Foreign controlled pension funds,S12903,,102,
Pension funds (sub-sector not identified),S129U,,103,
Banks and other financial institutions headquartered in the reporting country or currency area,S12A,,104,
Banks and other financial institutions headquartered outside the reporting country or currency area,S12B,,105,
Deposit taking corporations,S12C,,106,S12C=S121+S122
Financial corporations other than central banks,S12D,,107,S12D=S12-S121
Domestically controlled financial corporations,S12DO,,108,
Monetary financial institutions (MFI),S12K,,109,S12K=S121+S122+S123
Monetary financial institutions (sub-sector not identified),S12KU,,110,
Investment Funds (MMFs and non-MMFs),S12L,,111,"S12L=S123+S124
S12L=S12L1+S12L2+S12L3+S12L4+S12L5+S12L9
S12L=S12LO+S124B"
Real estate funds,S12L1,,112,S12L1=S12LO1+S124B1
Equity funds,S12L2,,113,S12L2=S12LO2+S124B2
Bond funds,S12L3,,114,S12L3=S12LO3+S124B3
Mixed funds,S12L4,,115,S12L4=S12LO4+S124B4
Hedge funds,S12L5,,116,S12L5=S12LO5+S124B5
"Other funds (other than equity, bond, mixed, real estate and hedge funds)",S12L9,,117,S12L9=S12LO9+S124B9
Open-end Investment Funds,S12LO,,118,"S12LO=S123+S124A
S12LO=S12LO1+S12LO2+S12LO3+S12LO4+S12LO5+S12LO9"
Open-end Real Estate Funds,S12LO1,,119,
