Label,Notation,Parent Notation,Sort Priority,Description
Not applicable,_Z,,1,
Current account,CA,,2,CA=GS+IN1+IN2
Current plus capital account (if balance = Net lending (+) / net borrowing (-)),CKA,,3,CKA=CA+KA
Current plus capital plus financial account,CKAFA,,4,CKFA=CA+KA+FA
Primary income: Compensation of employees,D1,,5,D1=D11+D12
Primary income: Wages and salaries excluding employers' social contributions,D11,,6,
Primary income: Employers? social contributions,D12,,7,D12=D121+D122
Primary income: Employers? actual social contributions,D121,,8,D121=D1211+D1212
Primary income: Employers? actual pension contributions,D1211,,9,
Primary income: Employers? actual non-pension contributions,D1212,,10,
Primary income: Employers? imputed social contributions,D122,,11,D122=D1221+D1222
Primary income: Employers? imputed pension contributions,D1221,,12,
Primary income: Employers? imputed non-pension contributions,D1222,,13,
Primary income: Taxes on production and imports,D2,,14,D2=D21+D29
Primary income: Taxes on products,D21,,15,D21=D21EU+D21OTH
"Primary income: Taxes and duties on imports, Customs duties, Traditional Own Resources",D2121EU1,,16,
"Primary income: Taxes and duties on imports, Agricultural levies, Trade with non member countries under the CAP, Traditional Own Resources",D2122EU2,,17,
"Primary income: Taxes on products, Sugar/isoglucose production levies, Traditional Own Resources",D214AEU3,,18,
"Primary income: Taxes on products involing EU Institutions, Traditional Own Resources",D21EU,,19,D21EU=D2121EU1+D2122EU2+D214AEU3
"Primary income: Taxes on products, Other than those involing EU Institutions",D21OTH,,20,
Primary income: Other taxes on production,D29,,21,D29=D29EU+D29OTH
Primary income: Other taxes on production - involving EU institutions,D29EU,,22,
"Primary income: Other taxes on production, Other than those involving EU Institutions",D29OTH,,23,
Primary income: Subsidies,D3,,24,D3=D31+D39
Primary income: Subsidies on products,D31,,25,D31=D31EU+D31OTH
"Primary income: Subsidies on products, EU Institutions",D31EU,,26,D31EU=D31EU1
Primary income: Subsidies on products - Agriculture and fishery,D31EU1,,27,
"Primary income: Subsidies on products, Other than those involving EU Institutions",D31OTH,,28,
Primary income: Other subsidies on production excluding subsidies on products,D39,,29,D39=D39EU+D39OTH
"Primary income: Other subsidies on production excluding subsidies on products, EU Institutions",D39EU,,30,D39EU=D39EU1+D39EU2+D39EU3
Primary income: Subsidies on production - Agriculture and fishery,D39EU1,,31,
Primary income: Subsidies on production - Grants for interest relief,D39EU2,,32,
"Primary income: Subsidies on production - Other excluding agriculture, fishery and grants for interest of relief",D39EU3,,33,
"Primary income: Other subsidies on production excluding subsidies on products, Other than those involing EU Institutions",D39OTH,,34,
Property income,D4,,35,D4==D41+D42+D43+D44+D45
Primary income: interest,D41,,36,
Primary income: interest before FISIM,D41G,,37,
"Primary income: interests (lending fees on equity securities, gold loans and gold swaps)",D41L,,38,
Primary income: Dividends and withdrawals from income of quasi corporations (excluding RIE and excluding IF),D42,,39,D42=D421+D422
Dividends,D421,,40,
Withdrawals from income of quasi corporations,D422,,41,
"Primary income: dividends, withdrawals from income of quasi corporations (including RIE, excluding IF)",D42R,,42,D42R=D42+D43
"Primary income: dividends, withdrawals from income of quasi corporations and income distributed to investment fund shareholders (excluding RIE)",D42S,,43,D42S=D42+D4431
Primary income: Reinvested earnings on FDI (Excluding IF),D43,,44,
Primary income: reinvested earnings on FDI (Including IF),D43S,,45,D43S=D43+D4432
Other investment income (ESA),D44,,46,D44=D441+D442+D443
Investment income attributable to insurance policy holders,D441,,47,
Investment income payable on pension entitlements,D442,,48,
Investment income attributable to collective investment fund shareholders (IF),D443,,49,D443=D4431+D4432
Dividends distributed to collective investment fund shareholders (IF),D4431,,50,
Reinvested earnings attributable to collective investment fund shareholders (IF),D4432,,51,
"Primary income: Investment income attributable to policy holders (insurance, pension and standardized guarantee schemes)",D44P,,52,D44P=D441+D442
Primary income: Rent,D45,,53,
Primary income: Other primary income,D4O,,54,D4O=D2+D3+D45
